날짜,관객수,전체관객수
2017-07-05,545302,653111
2017-07-06,405399,505914
2017-07-07,537526,666899
2017-07-08,1098751,1342913
2017-07-09,970771,1180659
2017-07-10,254624,332340
2017-07-11,267167,369384
2017-07-12,215812,328379
2017-07-13,183923,312125
2017-07-14,256830,412691
2017-07-15,632067,991292
2017-07-16,528457,857856
2017-07-17,124148,237759
2017-07-18,111280,237407
2017-07-19,103671,293647
2017-07-20,79499,466126
2017-07-21,113462,541202
2017-07-22,225365,1028612
2017-07-23,195009,936383
2017-07-24,62945,354143
2017-07-25,62825,357725
2017-07-26,28732,1352378
2017-07-27,22024,890775
2017-07-28,25030,945159
2017-07-29,37683,1612666
2017-07-30,37500,1473480
2017-07-31,35402,924502
2017-08-01,34024,833772
2017-08-02,8123,1316812
2017-08-03,7051,1145368
2017-08-04,7144,1165605
2017-08-05,9586,1775948
2017-08-06,7437,1675297
2017-08-07,4430,824888
2017-08-08,4702,734136
