,영화,상영시작일,상영종료일
0,1987,2017-12-27,2018-02-13
1,7번방의 선물,2013-01-23,2013-04-17
2,검사외전,2016-02-03,2016-03-16
3,겨울왕국 2,2019-11-21,2020-01-21
4,겨울왕국,2014-01-16,2014-03-25
5,공조,2017-01-18,2017-02-28
6,과속스캔들,2008-12-03,2009-04-01
7,관상,2013-09-11,2013-10-23
8,"광해, 왕이 된 남자",2012-09-13,2012-12-24
9,괴물,2006-07-27,2006-09-27
10,국가대표,2009-07-29,2009-11-04
11,국제시장,2014-12-17,2015-03-11
12,극한직업,2019-01-23,2019-03-26
13,기생충,2019-05-30,2019-07-30
14,도둑들,2012-07-25,2012-10-02
15,디워,2007-08-01,2007-09-18
16,명량,2014-07-30,2014-10-01
17,미션임파서블-고스트프로토콜,2011-12-15,2012-02-08
18,밀정,2016-09-07,2016-10-19
19,백두산,2019-12-19,2020-02-04
20,범죄도시2,2022-05-18,2022-07-26
21,베를린,2013-01-30,2013-03-27
22,베테랑,2015-08-05,2015-10-14
23,변호인,2013-12-18,2014-02-19
24,보헤미안 랩소디,2018-10-31,2019-01-29
25,부산행,2016-07-20,2016-09-13
26,설국열차,2013-08-01,2013-10-11
27,수상한 그녀,2014-01-22,2014-04-02
28,스파이더맨- 노 웨이 홈,2021-12-15,2022-03-22
29,스파이더맨- 파 프롬 홈,2019-07-02,2019-08-06
30,스파이더맨- 홈 커밍,2017-07-05,2017-08-08
31,신과함께-인과 연,2018-08-01,2018-09-18
32,신과함께-죄와 벌,2017-12-20,2018-02-23
33,실미도,2003-12-24,2004-03-31
34,써니,2011-05-04,2011-08-10
35,아바타- 물의 길,2022-12-14,2023-03-07
36,아바타,2009-12-17,2010-03-24
37,아이언맨 3,2013-04-25,2013-06-04
38,알라딘,2019-05-23,2019-08-25
39,암살,2015-07-22,2015-09-23
40,어벤져스- 에이지 오브 울트론,2015-04-23,2015-06-10
41,어벤져스- 엔드게임,2019-04-24,2019-06-05
42,어벤져스- 인피니티 워,2018-04-25,2018-06-12
43,엑시트,2019-07-31,2019-09-24
44,왕의 남자,2005-12-29,2006-04-05
45,인터스텔라,2014-11-06,2015-01-13
46,최종병기 활,2011-08-10,2011-10-26
47,캡틴 아메리카- 시빌 워,2016-04-27,2016-06-01
48,탑건- 매버릭,2022-06-22,2022-09-14
49,태극기 휘날리며,2004-02-05,2004-05-20
50,택시운전사,2017-08-02,2017-09-26
51,트랜스포머 3,2011-06-29,2011-08-10
52,트랜스포머- 패자의 역습,2009-06-24,2009-08-11
53,트랜스포머,2007-06-28,2007-08-14
54,한산- 용의 출현,2022-07-27,2022-09-20
55,해운대,2009-07-22,2009-10-07
56,해적- 바다로 간 산적,2014-08-06,2014-10-07
57,히말라야,2015-12-16,2016-02-10
