영화,일반관,특수관,누적관객수
명량,17563177,52742,17615919
극한직업,16266338,0,16266338
신과함께-죄와 벌,14213274,201384,14414658
국제시장,14264476,0,14264476
어벤져스: 엔드게임,12773929,1203673,13977602
겨울왕국 2,12806843,943825,13750668
베테랑,13413821,663,13414484
아바타,6921137,6417726,13338863
도둑들,12983942,759,12984701
7번방의 선물,12810975,1169,12812144
알라딘,11115370,1682557,12797927
암살,12671839,35108,12706947
범죄도시2,12627228,66187,12693415
"광해, 왕이 된 남자",12321693,2365,12324058
신과함께-인과 연,11863931,414079,12278010
택시운전사,12189518,188,12189706
태극기 휘날리며,11746135,0,11746135
부산행,11397668,170147,11567815
변호인,11373245,2154,11375399
해운대,11284421,40696,11325117
어벤져스: 인피니티 워,10124019,1109157,11233176
실미도,11081000,0,11081000
괴물,10917400,0,10917400
아바타: 물의 길,5072801,5729756,10802557
왕의 남자,10514177,0,10514177
어벤져스: 에이지 오브 울트론,8590741,1913746,10504487
인터스텔라,9117121,1225402,10342523
기생충,10312318,1201,10313519
겨울왕국,7918023,2387028,10305051
보헤미안 랩소디,8873156,1075230,9948386
검사외전,9707581,0,9707581
엑시트,9409128,17832,9426960
설국열차,9353799,0,9353799
관상,9135729,77,9135806
아이언맨 3,7567164,1434515,9001679
캡틴 아메리카: 시빌 워,7869922,808839,8678761
해적: 바다로 간 산적,8657366,8842,8666208
수상한 그녀,8659727,1074,8660801
백두산,8252952,475,8253427
과속스캔들,8166508,56834,8223342
탑건: 매버릭,6940385,1255357,8195742
국가대표,8007667,27514,8035181
스파이더맨: 파 프롬 홈,7709460,314146,8023606
디워,7351195,504279,7855474
공조,7802947,14739,7817686
트랜스포머 3,3737420,4047799,7785219
히말라야,7759761,0,7759761
스파이더맨: 노 웨이 홈,6829031,722959,7551990
미션임파서블:고스트프로토콜,7153713,422272,7575985
밀정,7425255,75202,7500457
최종병기 활,7425276,45357,7470633
트랜스포머,7367394,35338,7402732
트랜스포머: 패자의 역습,7255764,137679,7393443
써니,7363142,0,7363142
한산: 용의 출현,6795554,469380,7264934
스파이더맨: 홈 커밍,6865440,393238,7258678
1987,7232452,0,7232452
베를린,7151476,15212,7166688
