Title,Release,Audi
타짜: 원 아이드 잭,2019-09-11,"2,229,239 (100%)"
미션 임파서블,1996-06-15,0 (100%)
미션 임파서블 2,2000-06-16,0 (100%)
해리포터와 아즈카반의 죄수,2004-07-16,"2,532,000 (100%)"
해리 포터와 불의 잔,2005-12-01,"3,615,000 (100%)"
해리 포터와 불사조 기사단,2007-07-11,"3,475,000 (100%)"
해리 포터와 혼혈 왕자,2009-07-15,"3,002,669 (100%)"
해리 포터와 죽음의 성물1,2010-12-15,"2,809,053 (100%)"
해리포터와 죽음의 성물2,2011-07-13,"4,400,298 (100%)"
해리포터와 비밀의 방,2002-12-13,"4,000,000 (100%)"
트랜스포머: 최후의 기사, * 영상물등급위원회 제공,"2,614,601 (100%)"
해리포터와 마법사의 돌,2001-12-13,0 (100%)
